Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"SL","Livestock Primary","16","Bangladesh","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","0","Fc","Calculated data"
"SL","Livestock Primary","14","Barbados","5510","Production","21121","Meat, chicken","2018","2018","tonnes","16466","","Official data"
"SL","Livestock Primary","14","Barbados","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","911","","Official data"
"SL","Livestock Primary","14","Barbados","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","63","","Official data"
"SL","Livestock Primary","14","Barbados","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","15","Fc","Calculated data"
"SL","Livestock Primary","57","Belarus","5510","Production","21121","Meat, chicken","2018","2018","tonnes","463525","Im","FAO data based on imputation methodology"
"SL","Livestock Primary","57","Belarus","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","7027","","Official data"
"SL","Livestock Primary","57","Belarus","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","163779","","Official data"
"SL","Livestock Primary","255","Belgium","5510","Production","21121","Meat, chicken","2018","2018","tonnes","461606","","Official data"
"SL","Livestock Primary","255","Belgium","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","208579","","Official data"
"SL","Livestock Primary","255","Belgium","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","531847","","Official data"
"SL","Livestock Primary","23","Belize","5510","Production","21121","Meat, chicken","2018","2018","tonnes","19677","","Official data"
"SL","Livestock Primary","23","Belize","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","15","","Official data"
"SL","Livestock Primary","53","Benin","5510","Production","21121","Meat, chicken","2018","2018","tonnes","14561","","Official data"
"SL","Livestock Primary","53","Benin","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","75324","","Official data"
"SL","Livestock Primary","53","Benin","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","15199","","Official data"
"SL","Livestock Primary","53","Benin","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","2","Fc","Calculated data"
"SL","Livestock Primary","19","Bolivia (Plurinational State of)","5510","Production","21121","Meat, chicken","2018","2018","tonnes","482332","","Official data"
"SL","Livestock Primary","19","Bolivia (Plurinational State of)","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","292","","Official data"
"SL","Livestock Primary","19","Bolivia (Plurinational State of)","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","676","","Official data"
"SL","Livestock Primary","19","Bolivia (Plurinational State of)","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","13","Fc","Calculated data"
"SL","Livestock Primary","80","Bosnia and Herzegovina","5510","Production","21121","Meat, chicken","2018","2018","tonnes","61926","","Official data"
"SL","Livestock Primary","80","Bosnia and Herzegovina","5610","Import Quantity","21121","Meat, chicken","2018","2018","tonnes","8600","","Official data"
"SL","Livestock Primary","80","Bosnia and Herzegovina","5910","Export Quantity","21121","Meat, chicken","2018","2018","tonnes","3942","","Official data"
"SL","Livestock Primary","80","Bosnia and Herzegovina","674","Protein supply quantity (g/capita/day)","21121","Meat, chicken","2018","2018","g/capita/day","6","Fc","Calculated data"
"SL","Livestock Primary","20","Botswana","5510","Production","21121","Meat, chicken","2018","2018","tonnes","4247","Im","FAO data based on imputation methodology"
