Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","New Food Balances","52","Azerbaijan","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3149","Fc","Calculated data"
"FBS","New Food Balances","52","Azerbaijan","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","94.42","Fc","Calculated data"
"FBS","New Food Balances","52","Azerbaijan","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","553","Fc","Calculated data"
"FBS","New Food Balances","52","Azerbaijan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","32.53","Fc","Calculated data"
"FBS","New Food Balances","12","Bahamas","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2655","Fc","Calculated data"
"FBS","New Food Balances","12","Bahamas","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","80.69","Fc","Calculated data"
"FBS","New Food Balances","12","Bahamas","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","772","Fc","Calculated data"
"FBS","New Food Balances","12","Bahamas","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","52.4","Fc","Calculated data"
"FBS","New Food Balances","16","Bangladesh","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2563","Fc","Calculated data"
"FBS","New Food Balances","16","Bangladesh","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","60.73","Fc","Calculated data"
"FBS","New Food Balances","16","Bangladesh","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","128","Fc","Calculated data"
"FBS","New Food Balances","16","Bangladesh","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","12.56","Fc","Calculated data"
"FBS","New Food Balances","14","Barbados","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","2956","Fc","Calculated data"
"FBS","New Food Balances","14","Barbados","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","88.69","Fc","Calculated data"
"FBS","New Food Balances","14","Barbados","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","712","Fc","Calculated data"
"FBS","New Food Balances","14","Barbados","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","51.02","Fc","Calculated data"
"FBS","New Food Balances","57","Belarus","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3270","Fc","Calculated data"
"FBS","New Food Balances","57","Belarus","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","91.95","Fc","Calculated data"
"FBS","New Food Balances","57","Belarus","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","838","Fc","Calculated data"
"FBS","New Food Balances","57","Belarus","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","52.2","Fc","Calculated data"
"FBS","New Food Balances","255","Belgium","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3769","Fc","Calculated data"
"FBS","New Food Balances","255","Belgium","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","99.87","Fc","Calculated data"
